menu_item_id,option_group_id
1,1
1,2
1,3
1,4
1,5
2,1
2,2
2,3
2,4
2,5
3,1
3,2
3,3
3,4
3,5
4,
5,
6,
7,
8,
9,2
9,3
9,4
9,5
10,4
10,5
11,4
11,5
12,4
12,5
13,1
14,1
14,2
14,3
15,1
15,5
16,1
16,2
16,3
16,5
17,1
17,5
18,1
18,5
19,1
19,5
20,10
20,14
20,19
20,20
20,21
21,10
21,14
21,19
21,20
21,21
22,10
22,14
22,20
22,21
23,10
23,14
23,20
23,21
24,10
24,14
24,20
24,21
25,10
25,14
25,20
25,21
26,10
26,14
26,20
26,21
27,10
27,14
27,20
27,21
27,22
28,10
28,14
28,20
28,21
28,22
29,10
29,14
29,20
29,21
29,22
30,10
30,14
30,20
30,21
31,10
31,14
31,20
31,21
32,10
32,14
32,20
32,21
33,10
33,14
33,20
33,21
34,10
34,14
34,20
34,21
35,10
35,14
35,20
35,21
36,10
36,14
36,20
36,21
37,6
37,7
37,8
37,9
37,10
37,14
37,19
37,20
37,21
38,10
38,20
38,21
39,10
39,20
39,21
40,10
40,20
40,21
41,10
41,20
41,21
42,11
42,12
42,13
42,20
42,21
43,10
43,20
43,21
44,10
44,18
44,20
44,21
45,10
45,20
45,21
46,10
46,20
46,21
47,1
47,10
47,20
47,21
48,1
48,10
48,20
48,21
49,1
49,10
49,18
49,20
49,21
50,1
50,10
50,20
50,21
51,20
51,21
52,10
52,20
52,21
53,10
53,20
53,21
54,10
54,20
54,21
55,14
55,15
56,14
56,15
57,14
57,15
58,14
58,16
59,14
59,16
60,14
60,16
61,14
61,17
62,
63,
64,
65,
66,